Well Row,Well Col,Content,Raw Data (600),
A,1,Sample X1,0.181,
A,2,Sample X2,0.178,
A,3,Sample X3,0.187,
A,4,Sample X4,0.197,
A,5,Sample X5,0.203,
A,6,Sample X6,0.211,
A,7,Sample X7,0.217,
A,8,Sample X8,0.226,
A,9,Sample X9,0.235,
A,10,Sample X10,0.246,
A,11,Sample X11,0.257,
A,12,Sample X12,0.264,
B,1,Sample X13,0.185,
B,2,Sample X14,1.284,
B,3,Sample X15,1.256,
B,4,Sample X16,1.113,
B,5,Sample X17,1.31,
B,6,Sample X18,1.259,
B,7,Sample X19,1.24,
B,8,Sample X20,1.09,
B,9,Sample X21,1.252,
B,10,Sample X22,1.179,
B,11,Sample X23,1.111,
B,12,Sample X24,0.261,
C,1,Sample X25,0.18,
C,2,Sample X26,1.086,
C,3,Sample X27,1.014,
C,4,Sample X28,1.088,
C,5,Sample X29,1.054,
C,6,Sample X30,1.166,
C,7,Sample X31,1.097,
C,8,Sample X32,1.151,
C,9,Sample X33,1.069,
C,10,Sample X34,1.105,
C,11,Sample X35,1.114,
C,12,Sample X36,0.288,
D,1,Sample X37,0.19,
D,2,Sample X38,1.211,
D,3,Sample X39,1.241,
D,4,Sample X40,1.094,
D,5,Sample X41,1.15,
D,6,Sample X42,1.2,
D,7,Sample X43,1.192,
D,8,Sample X44,1.233,
D,9,Sample X45,1.162,
D,10,Sample X46,1.135,
D,11,Sample X47,1.193,
D,12,Sample X48,0.269,
E,1,Sample X49,0.195,
E,2,Sample X50,1.157,
E,3,Sample X51,1.084,
E,4,Sample X52,1.06,
E,5,Sample X53,1.082,
E,6,Sample X54,1.109,
E,7,Sample X55,1.183,
E,8,Sample X56,1.22,
E,9,Sample X57,1.209,
E,10,Sample X58,1.151,
E,11,Sample X59,1.201,
E,12,Sample X60,0.278,
F,1,Sample X61,0.211,
F,2,Sample X62,1.207,
F,3,Sample X63,1.215,
F,4,Sample X64,1.231,
F,5,Sample X65,1.184,
F,6,Sample X66,1.236,
F,7,Sample X67,1.277,
F,8,Sample X68,1.071,
F,9,Sample X69,1.165,
F,10,Sample X70,1.145,
F,11,Sample X71,1.128,
F,12,Sample X72,0.31,
G,1,Sample X73,0.22,
G,2,Sample X74,1.245,
G,3,Sample X75,1.151,
G,4,Sample X76,1.206,
G,5,Sample X77,1.151,
G,6,Sample X78,1.046,
G,7,Sample X79,1.089,
G,8,Sample X80,1.169,
G,9,Sample X81,0.991,
G,10,Sample X82,1.054,
G,11,Sample X83,1.137,
G,12,Sample X84,0.309,
H,1,Sample X85,0.221,
H,2,Sample X86,0.227,
H,3,Sample X87,0.236,
H,4,Sample X88,0.25,
H,5,Sample X89,0.241,
H,6,Sample X90,0.253,
H,7,Sample X91,0.269,
H,8,Sample X92,0.269,
H,9,Sample X93,0.81,
H,10,Sample X94,0.285,
H,11,Sample X95,0.303,
H,12,Sample X96,0.311,
