Well Row,Well Col,Content,Raw Data (600),
A,1,Sample X1,0.183,
A,2,Sample X2,0.186,
A,3,Sample X3,0.193,
A,4,Sample X4,0.197,
A,5,Sample X5,0.193,
A,6,Sample X6,0.201,
A,7,Sample X7,0.194,
A,8,Sample X8,0.203,
A,9,Sample X9,0.209,
A,10,Sample X10,0.21,
A,11,Sample X11,0.202,
A,12,Sample X12,0.206,
B,1,Sample X13,0.193,
B,2,Sample X14,1.309,
B,3,Sample X15,1.347,
B,4,Sample X16,1.333,
B,5,Sample X17,0.505,
B,6,Sample X18,1.371,
B,7,Sample X19,1.262,
B,8,Sample X20,1.281,
B,9,Sample X21,1.32,
B,10,Sample X22,1.33,
B,11,Sample X23,1.059,
B,12,Sample X24,0.205,
C,1,Sample X25,0.204,
C,2,Sample X26,1.254,
C,3,Sample X27,1.321,
C,4,Sample X28,0.217,
C,5,Sample X29,1.304,
C,6,Sample X30,0.226,
C,7,Sample X31,0.22,
C,8,Sample X32,1.076,
C,9,Sample X33,1.258,
C,10,Sample X34,1.24,
C,11,Sample X35,1.279,
C,12,Sample X36,0.231,
D,1,Sample X37,0.222,
D,2,Sample X38,0.673,
D,3,Sample X39,0.645,
D,4,Sample X40,1.351,
D,5,Sample X41,0.219,
D,6,Sample X42,0.781,
D,7,Sample X43,1.316,
D,8,Sample X44,1.26,
D,9,Sample X45,1.234,
D,10,Sample X46,0.255,
D,11,Sample X47,0.323,
D,12,Sample X48,0.225,
E,1,Sample X49,0.205,
E,2,Sample X50,1.303,
E,3,Sample X51,0.578,
E,4,Sample X52,1.333,
E,5,Sample X53,0.21,
E,6,Sample X54,0.213,
E,7,Sample X55,0.393,
E,8,Sample X56,0.971,
E,9,Sample X57,1.354,
E,10,Sample X58,1.221,
E,11,Sample X59,0.228,
E,12,Sample X60,0.227,
F,1,Sample X61,0.225,
F,2,Sample X62,1.163,
F,3,Sample X63,1.309,
F,4,Sample X64,1.382,
F,5,Sample X65,1.317,
F,6,Sample X66,1.367,
F,7,Sample X67,0.977,
F,8,Sample X68,0.91,
F,9,Sample X69,1.292,
F,10,Sample X70,1.011,
F,11,Sample X71,0.293,
F,12,Sample X72,0.25,
G,1,Sample X73,0.223,
G,2,Sample X74,1.375,
G,3,Sample X75,0.255,
G,4,Sample X76,1.417,
G,5,Sample X77,1.371,
G,6,Sample X78,0.782,
G,7,Sample X79,1.273,
G,8,Sample X80,1.32,
G,9,Sample X81,0.244,
G,10,Sample X82,1.282,
G,11,Sample X83,1.334,
G,12,Sample X84,0.256,
H,1,Sample X85,0.229,
H,2,Sample X86,0.232,
H,3,Sample X87,0.232,
H,4,Sample X88,0.241,
H,5,Sample X89,0.246,
H,6,Sample X90,0.251,
H,7,Sample X91,0.256,
H,8,Sample X92,0.254,
H,9,Sample X93,0.247,
H,10,Sample X94,0.244,
H,11,Sample X95,0.256,
H,12,Sample X96,0.25,
