Well Row,Well Col,Content,Raw Data (600),
A,1,Sample X1,0.161,
A,2,Sample X2,0.159,
A,3,Sample X3,0.163,
A,4,Sample X4,0.16,
A,5,Sample X5,0.16,
A,6,Sample X6,0.16,
A,7,Sample X7,0.156,
A,8,Sample X8,0.157,
A,9,Sample X9,0.158,
A,10,Sample X10,0.158,
A,11,Sample X11,0.159,
A,12,Sample X12,0.159,
B,1,Sample X13,0.167,
B,2,Sample X14,1.349,
B,3,Sample X15,1.321,
B,4,Sample X16,1.315,
B,5,Sample X17,1.299,
B,6,Sample X18,1.094,
B,7,Sample X19,1.002,
B,8,Sample X20,1.342,
B,9,Sample X21,1.329,
B,10,Sample X22,1.311,
B,11,Sample X23,1.329,
B,12,Sample X24,0.162,
C,1,Sample X25,0.169,
C,2,Sample X26,1.096,
C,3,Sample X27,1.257,
C,4,Sample X28,1.231,
C,5,Sample X29,1.24,
C,6,Sample X30,1.296,
C,7,Sample X31,1.316,
C,8,Sample X32,1.234,
C,9,Sample X33,0.458,
C,10,Sample X34,1.291,
C,11,Sample X35,1.291,
C,12,Sample X36,0.171,
D,1,Sample X37,0.175,
D,2,Sample X38,1.257,
D,3,Sample X39,1.257,
D,4,Sample X40,1.118,
D,5,Sample X41,1.041,
D,6,Sample X42,1.238,
D,7,Sample X43,1.236,
D,8,Sample X44,1.279,
D,9,Sample X45,1.199,
D,10,Sample X46,1.313,
D,11,Sample X47,1.217,
D,12,Sample X48,0.165,
E,1,Sample X49,0.171,
E,2,Sample X50,1.346,
E,3,Sample X51,1.288,
E,4,Sample X52,1.241,
E,5,Sample X53,1.188,
E,6,Sample X54,1.316,
E,7,Sample X55,1.242,
E,8,Sample X56,1.276,
E,9,Sample X57,1.323,
E,10,Sample X58,1.314,
E,11,Sample X59,1.302,
E,12,Sample X60,0.169,
F,1,Sample X61,0.18,
F,2,Sample X62,1.307,
F,3,Sample X63,1.342,
F,4,Sample X64,1.239,
F,5,Sample X65,1.329,
F,6,Sample X66,1.329,
F,7,Sample X67,1.244,
F,8,Sample X68,1.333,
F,9,Sample X69,1.197,
F,10,Sample X70,1.306,
F,11,Sample X71,1.333,
F,12,Sample X72,0.182,
G,1,Sample X73,0.192,
G,2,Sample X74,1.317,
G,3,Sample X75,1.273,
G,4,Sample X76,1.3,
G,5,Sample X77,1.206,
G,6,Sample X78,1.239,
G,7,Sample X79,1.156,
G,8,Sample X80,1.277,
G,9,Sample X81,1.156,
G,10,Sample X82,1.322,
G,11,Sample X83,1.306,
G,12,Sample X84,0.186,
H,1,Sample X85,0.205,
H,2,Sample X86,0.191,
H,3,Sample X87,0.183,
H,4,Sample X88,0.187,
H,5,Sample X89,0.182,
H,6,Sample X90,0.179,
H,7,Sample X91,0.183,
H,8,Sample X92,0.185,
H,9,Sample X93,0.181,
H,10,Sample X94,0.181,
H,11,Sample X95,0.185,
H,12,Sample X96,0.189,
