Well Row,Well Col,Content,Raw Data (600),
A,1,Sample X1,0.181,
A,2,Sample X2,0.183,
A,3,Sample X3,0.187,
A,4,Sample X4,0.189,
A,5,Sample X5,0.186,
A,6,Sample X6,0.185,
A,7,Sample X7,0.182,
A,8,Sample X8,0.188,
A,9,Sample X9,0.193,
A,10,Sample X10,0.188,
A,11,Sample X11,0.184,
A,12,Sample X12,0.184,
B,1,Sample X13,0.192,
B,2,Sample X14,1.422,
B,3,Sample X15,1.385,
B,4,Sample X16,1.343,
B,5,Sample X17,1.397,
B,6,Sample X18,1.348,
B,7,Sample X19,1.363,
B,8,Sample X20,1.253,
B,9,Sample X21,1.194,
B,10,Sample X22,1.386,
B,11,Sample X23,1.312,
B,12,Sample X24,0.191,
C,1,Sample X25,0.202,
C,2,Sample X26,1.357,
C,3,Sample X27,1.294,
C,4,Sample X28,1.346,
C,5,Sample X29,1.361,
C,6,Sample X30,1.327,
C,7,Sample X31,1.368,
C,8,Sample X32,1.298,
C,9,Sample X33,0.722,
C,10,Sample X34,1.289,
C,11,Sample X35,1.364,
C,12,Sample X36,0.209,
D,1,Sample X37,0.214,
D,2,Sample X38,1.404,
D,3,Sample X39,1.349,
D,4,Sample X40,1.309,
D,5,Sample X41,1.358,
D,6,Sample X42,1.341,
D,7,Sample X43,1.334,
D,8,Sample X44,1.341,
D,9,Sample X45,1.301,
D,10,Sample X46,1.366,
D,11,Sample X47,1.324,
D,12,Sample X48,0.207,
E,1,Sample X49,0.206,
E,2,Sample X50,1.351,
E,3,Sample X51,1.277,
E,4,Sample X52,0.216,
E,5,Sample X53,1.3,
E,6,Sample X54,1.157,
E,7,Sample X55,1.293,
E,8,Sample X56,1.305,
E,9,Sample X57,1.265,
E,10,Sample X58,1.372,
E,11,Sample X59,1.338,
E,12,Sample X60,0.215,
F,1,Sample X61,0.224,
F,2,Sample X62,1.406,
F,3,Sample X63,1.355,
F,4,Sample X64,0.236,
F,5,Sample X65,1.302,
F,6,Sample X66,1.326,
F,7,Sample X67,1.338,
F,8,Sample X68,1.313,
F,9,Sample X69,1.194,
F,10,Sample X70,1.359,
F,11,Sample X71,1.362,
F,12,Sample X72,0.233,
G,1,Sample X73,0.22,
G,2,Sample X74,1.35,
G,3,Sample X75,1.347,
G,4,Sample X76,1.183,
G,5,Sample X77,1.381,
G,6,Sample X78,1.349,
G,7,Sample X79,1.179,
G,8,Sample X80,1.346,
G,9,Sample X81,1.345,
G,10,Sample X82,1.372,
G,11,Sample X83,1.162,
G,12,Sample X84,0.233,
H,1,Sample X85,0.222,
H,2,Sample X86,0.218,
H,3,Sample X87,0.213,
H,4,Sample X88,0.212,
H,5,Sample X89,0.217,
H,6,Sample X90,0.22,
H,7,Sample X91,0.223,
H,8,Sample X92,0.226,
H,9,Sample X93,0.224,
H,10,Sample X94,0.222,
H,11,Sample X95,0.228,
H,12,Sample X96,0.227,
