Well Row,Well Col,Content,Raw Data (600),
A,1,Sample X1,0.18,
A,2,Sample X2,0.203,
A,3,Sample X3,0.176,
A,4,Sample X4,0.18,
A,5,Sample X5,0.182,
A,6,Sample X6,0.177,
A,7,Sample X7,0.179,
A,8,Sample X8,0.178,
A,9,Sample X9,0.176,
A,10,Sample X10,0.175,
A,11,Sample X11,0.176,
A,12,Sample X12,0.18,
B,1,Sample X13,0.191,
B,2,Sample X14,0.337,
B,3,Sample X15,0.406,
B,4,Sample X16,0.518,
B,5,Sample X17,0.952,
B,6,Sample X18,0.586,
B,7,Sample X19,0.642,
B,8,Sample X20,0.511,
B,9,Sample X21,0.955,
B,10,Sample X22,0.825,
B,11,Sample X23,1.117,
B,12,Sample X24,0.169,
C,1,Sample X25,0.187,
C,2,Sample X26,0.516,
C,3,Sample X27,0.285,
C,4,Sample X28,0.38,
C,5,Sample X29,0.25,
C,6,Sample X30,0.407,
C,7,Sample X31,0.752,
C,8,Sample X32,0.634,
C,9,Sample X33,0.601,
C,10,Sample X34,0.918,
C,11,Sample X35,0.919,
C,12,Sample X36,0.195,
D,1,Sample X37,0.206,
D,2,Sample X38,0.62,
D,3,Sample X39,0.433,
D,4,Sample X40,0.923,
D,5,Sample X41,0.509,
D,6,Sample X42,0.537,
D,7,Sample X43,0.62,
D,8,Sample X44,0.985,
D,9,Sample X45,1.151,
D,10,Sample X46,0.333,
D,11,Sample X47,0.229,
D,12,Sample X48,0.186,
E,1,Sample X49,0.198,
E,2,Sample X50,0.9,
E,3,Sample X51,0.446,
E,4,Sample X52,0.529,
E,5,Sample X53,0.345,
E,6,Sample X54,0.551,
E,7,Sample X55,0.667,
E,8,Sample X56,0.774,
E,9,Sample X57,0.752,
E,10,Sample X58,0.45,
E,11,Sample X59,0.938,
E,12,Sample X60,0.194,
F,1,Sample X61,0.219,
F,2,Sample X62,0.848,
F,3,Sample X63,0.78,
F,4,Sample X64,0.351,
F,5,Sample X65,0.722,
F,6,Sample X66,0.698,
F,7,Sample X67,0.89,
F,8,Sample X68,0.978,
F,9,Sample X69,0.317,
F,10,Sample X70,0.494,
F,11,Sample X71,1.226,
F,12,Sample X72,0.207,
G,1,Sample X73,0.217,
G,2,Sample X74,1.207,
G,3,Sample X75,1.093,
G,4,Sample X76,0.396,
G,5,Sample X77,0.986,
G,6,Sample X78,1.019,
G,7,Sample X79,0.675,
G,8,Sample X80,0.341,
G,9,Sample X81,0.386,
G,10,Sample X82,0.732,
G,11,Sample X83,0.864,
G,12,Sample X84,0.208,
H,1,Sample X85,0.215,
H,2,Sample X86,0.211,
H,3,Sample X87,0.206,
H,4,Sample X88,0.208,
H,5,Sample X89,0.207,
H,6,Sample X90,0.21,
H,7,Sample X91,0.203,
H,8,Sample X92,0.207,
H,9,Sample X93,0.205,
H,10,Sample X94,0.2,
H,11,Sample X95,0.206,
H,12,Sample X96,0.21,
