Well Row,Well Col,Content,Raw Data (600),
A,1,Sample X1,0.171,
A,2,Sample X2,0.18,
A,3,Sample X3,0.174,
A,4,Sample X4,0.173,
A,5,Sample X5,0.17,
A,6,Sample X6,0.2,
A,7,Sample X7,0.17,
A,8,Sample X8,0.169,
A,9,Sample X9,0.174,
A,10,Sample X10,0.188,
A,11,Sample X11,0.171,
A,12,Sample X12,0.176,
B,1,Sample X13,0.177,
B,2,Sample X14,1.295,
B,3,Sample X15,1.297,
B,4,Sample X16,1.228,
B,5,Sample X17,1.216,
B,6,Sample X18,1.262,
B,7,Sample X19,1.194,
B,8,Sample X20,1.313,
B,9,Sample X21,1.131,
B,10,Sample X22,1.179,
B,11,Sample X23,1.213,
B,12,Sample X24,0.174,
C,1,Sample X25,0.183,
C,2,Sample X26,1.221,
C,3,Sample X27,1.289,
C,4,Sample X28,1.189,
C,5,Sample X29,1.213,
C,6,Sample X30,1.203,
C,7,Sample X31,1.193,
C,8,Sample X32,1.288,
C,9,Sample X33,1.071,
C,10,Sample X34,1.205,
C,11,Sample X35,1.137,
C,12,Sample X36,0.199,
D,1,Sample X37,0.193,
D,2,Sample X38,1.159,
D,3,Sample X39,1.255,
D,4,Sample X40,1.231,
D,5,Sample X41,1.193,
D,6,Sample X42,1.264,
D,7,Sample X43,1.148,
D,8,Sample X44,1.337,
D,9,Sample X45,1.223,
D,10,Sample X46,1.28,
D,11,Sample X47,1.256,
D,12,Sample X48,0.19,
E,1,Sample X49,0.189,
E,2,Sample X50,1.096,
E,3,Sample X51,1.128,
E,4,Sample X52,1.064,
E,5,Sample X53,1.135,
E,6,Sample X54,1.101,
E,7,Sample X55,1.128,
E,8,Sample X56,1.239,
E,9,Sample X57,1.13,
E,10,Sample X58,1.234,
E,11,Sample X59,1.195,
E,12,Sample X60,0.197,
F,1,Sample X61,0.208,
F,2,Sample X62,1.069,
F,3,Sample X63,1.164,
F,4,Sample X64,1.134,
F,5,Sample X65,1.13,
F,6,Sample X66,1.074,
F,7,Sample X67,1.104,
F,8,Sample X68,1.274,
F,9,Sample X69,1.094,
F,10,Sample X70,1.168,
F,11,Sample X71,1.153,
F,12,Sample X72,0.219,
G,1,Sample X73,0.208,
G,2,Sample X74,1.169,
G,3,Sample X75,1.237,
G,4,Sample X76,1.142,
G,5,Sample X77,1.15,
G,6,Sample X78,1.191,
G,7,Sample X79,1.181,
G,8,Sample X80,1.263,
G,9,Sample X81,1.202,
G,10,Sample X82,1.226,
G,11,Sample X83,1.147,
G,12,Sample X84,0.217,
H,1,Sample X85,0.204,
H,2,Sample X86,0.204,
H,3,Sample X87,0.198,
H,4,Sample X88,0.197,
H,5,Sample X89,0.199,
H,6,Sample X90,0.202,
H,7,Sample X91,0.202,
H,8,Sample X92,0.204,
H,9,Sample X93,0.203,
H,10,Sample X94,0.209,
H,11,Sample X95,0.21,
H,12,Sample X96,0.213,
