Well Row,Well Col,Content,Raw Data (600),
A,1,Sample X1,0.169,
A,2,Sample X2,0.169,
A,3,Sample X3,0.171,
A,4,Sample X4,0.176,
A,5,Sample X5,0.17,
A,6,Sample X6,0.178,
A,7,Sample X7,0.167,
A,8,Sample X8,0.172,
A,9,Sample X9,0.175,
A,10,Sample X10,0.171,
A,11,Sample X11,0.171,
A,12,Sample X12,0.175,
B,1,Sample X13,0.175,
B,2,Sample X14,1.382,
B,3,Sample X15,1.363,
B,4,Sample X16,1.349,
B,5,Sample X17,1.342,
B,6,Sample X18,1.377,
B,7,Sample X19,1.34,
B,8,Sample X20,1.345,
B,9,Sample X21,1.381,
B,10,Sample X22,1.357,
B,11,Sample X23,1.375,
B,12,Sample X24,0.179,
C,1,Sample X25,0.183,
C,2,Sample X26,1.345,
C,3,Sample X27,1.317,
C,4,Sample X28,1.312,
C,5,Sample X29,1.321,
C,6,Sample X30,1.333,
C,7,Sample X31,1.348,
C,8,Sample X32,1.317,
C,9,Sample X33,1.322,
C,10,Sample X34,1.278,
C,11,Sample X35,1.312,
C,12,Sample X36,0.193,
D,1,Sample X37,0.202,
D,2,Sample X38,1.338,
D,3,Sample X39,1.297,
D,4,Sample X40,1.317,
D,5,Sample X41,1.304,
D,6,Sample X42,1.297,
D,7,Sample X43,1.327,
D,8,Sample X44,1.327,
D,9,Sample X45,1.316,
D,10,Sample X46,1.302,
D,11,Sample X47,1.301,
D,12,Sample X48,0.191,
E,1,Sample X49,0.188,
E,2,Sample X50,1.331,
E,3,Sample X51,1.314,
E,4,Sample X52,1.366,
E,5,Sample X53,1.364,
E,6,Sample X54,1.376,
E,7,Sample X55,1.342,
E,8,Sample X56,1.331,
E,9,Sample X57,1.314,
E,10,Sample X58,1.32,
E,11,Sample X59,1.349,
E,12,Sample X60,0.196,
F,1,Sample X61,0.206,
F,2,Sample X62,1.35,
F,3,Sample X63,1.323,
F,4,Sample X64,1.338,
F,5,Sample X65,1.353,
F,6,Sample X66,1.321,
F,7,Sample X67,1.367,
F,8,Sample X68,1.317,
F,9,Sample X69,1.315,
F,10,Sample X70,1.325,
F,11,Sample X71,1.277,
F,12,Sample X72,0.213,
G,1,Sample X73,0.208,
G,2,Sample X74,1.32,
G,3,Sample X75,1.384,
G,4,Sample X76,1.374,
G,5,Sample X77,1.365,
G,6,Sample X78,1.351,
G,7,Sample X79,1.341,
G,8,Sample X80,1.302,
G,9,Sample X81,1.307,
G,10,Sample X82,1.339,
G,11,Sample X83,1.32,
G,12,Sample X84,0.222,
H,1,Sample X85,0.21,
H,2,Sample X86,0.208,
H,3,Sample X87,0.201,
H,4,Sample X88,0.201,
H,5,Sample X89,0.203,
H,6,Sample X90,0.203,
H,7,Sample X91,0.204,
H,8,Sample X92,0.21,
H,9,Sample X93,0.206,
H,10,Sample X94,0.211,
H,11,Sample X95,0.213,
H,12,Sample X96,0.221,
