Well Row,Well Col,Content,Raw Data (600),
A,1,Sample X1,0.168,
A,2,Sample X2,0.168,
A,3,Sample X3,0.171,
A,4,Sample X4,0.177,
A,5,Sample X5,0.17,
A,6,Sample X6,0.169,
A,7,Sample X7,0.166,
A,8,Sample X8,0.172,
A,9,Sample X9,0.176,
A,10,Sample X10,0.172,
A,11,Sample X11,0.175,
A,12,Sample X12,0.173,
B,1,Sample X13,0.176,
B,2,Sample X14,1.319,
B,3,Sample X15,1.332,
B,4,Sample X16,1.168,
B,5,Sample X17,1.352,
B,6,Sample X18,1.383,
B,7,Sample X19,1.195,
B,8,Sample X20,1.33,
B,9,Sample X21,1.137,
B,10,Sample X22,1.367,
B,11,Sample X23,1.227,
B,12,Sample X24,0.18,
C,1,Sample X25,0.187,
C,2,Sample X26,1.306,
C,3,Sample X27,1.176,
C,4,Sample X28,0.936,
C,5,Sample X29,1.367,
C,6,Sample X30,1.127,
C,7,Sample X31,1.358,
C,8,Sample X32,1.15,
C,9,Sample X33,1.373,
C,10,Sample X34,1.334,
C,11,Sample X35,1.234,
C,12,Sample X36,0.195,
D,1,Sample X37,0.202,
D,2,Sample X38,1.304,
D,3,Sample X39,1.387,
D,4,Sample X40,1.14,
D,5,Sample X41,1.226,
D,6,Sample X42,1.284,
D,7,Sample X43,1.362,
D,8,Sample X44,1.257,
D,9,Sample X45,0.875,
D,10,Sample X46,1.335,
D,11,Sample X47,1.038,
D,12,Sample X48,0.192,
E,1,Sample X49,0.197,
E,2,Sample X50,1.319,
E,3,Sample X51,1.278,
E,4,Sample X52,0.478,
E,5,Sample X53,1.248,
E,6,Sample X54,1.37,
E,7,Sample X55,1.31,
E,8,Sample X56,1.358,
E,9,Sample X57,1.025,
E,10,Sample X58,1.246,
E,11,Sample X59,1.333,
E,12,Sample X60,0.199,
F,1,Sample X61,0.208,
F,2,Sample X62,1.373,
F,3,Sample X63,1.346,
F,4,Sample X64,1.064,
F,5,Sample X65,1.295,
F,6,Sample X66,1.004,
F,7,Sample X67,1.292,
F,8,Sample X68,1.286,
F,9,Sample X69,1.37,
F,10,Sample X70,1.236,
F,11,Sample X71,1.071,
F,12,Sample X72,0.218,
G,1,Sample X73,0.208,
G,2,Sample X74,1.301,
G,3,Sample X75,1.349,
G,4,Sample X76,1.284,
G,5,Sample X77,1.204,
G,6,Sample X78,0.982,
G,7,Sample X79,1.221,
G,8,Sample X80,1.249,
G,9,Sample X81,1.031,
G,10,Sample X82,1.322,
G,11,Sample X83,1.175,
G,12,Sample X84,0.222,
H,1,Sample X85,0.211,
H,2,Sample X86,0.206,
H,3,Sample X87,0.202,
H,4,Sample X88,0.214,
H,5,Sample X89,0.203,
H,6,Sample X90,0.205,
H,7,Sample X91,0.206,
H,8,Sample X92,0.209,
H,9,Sample X93,0.207,
H,10,Sample X94,0.209,
H,11,Sample X95,0.216,
H,12,Sample X96,0.213,
