Well Row,Well Col,Content,Raw Data (600),
A,1,Sample X1,0.179,
A,2,Sample X2,0.182,
A,3,Sample X3,0.178,
A,4,Sample X4,0.18,
A,5,Sample X5,0.182,
A,6,Sample X6,0.193,
A,7,Sample X7,0.19,
A,8,Sample X8,0.193,
A,9,Sample X9,0.196,
A,10,Sample X10,0.203,
A,11,Sample X11,0.207,
A,12,Sample X12,0.208,
B,1,Sample X13,0.185,
B,2,Sample X14,0.176,
B,3,Sample X15,0.176,
B,4,Sample X16,0.184,
B,5,Sample X17,0.713,
B,6,Sample X18,0.186,
B,7,Sample X19,0.189,
B,8,Sample X20,0.191,
B,9,Sample X21,0.2,
B,10,Sample X22,0.203,
B,11,Sample X23,0.206,
B,12,Sample X24,0.212,
C,1,Sample X25,0.188,
C,2,Sample X26,0.185,
C,3,Sample X27,0.187,
C,4,Sample X28,0.201,
C,5,Sample X29,0.2,
C,6,Sample X30,1.006,
C,7,Sample X31,0.21,
C,8,Sample X32,1.252,
C,9,Sample X33,0.665,
C,10,Sample X34,0.532,
C,11,Sample X35,1.263,
C,12,Sample X36,0.233,
D,1,Sample X37,0.198,
D,2,Sample X38,0.483,
D,3,Sample X39,0.197,
D,4,Sample X40,1.334,
D,5,Sample X41,0.204,
D,6,Sample X42,1.298,
D,7,Sample X43,0.213,
D,8,Sample X44,0.57,
D,9,Sample X45,0.219,
D,10,Sample X46,1.029,
D,11,Sample X47,0.226,
D,12,Sample X48,0.226,
E,1,Sample X49,0.197,
E,2,Sample X50,1.345,
E,3,Sample X51,0.194,
E,4,Sample X52,0.194,
E,5,Sample X53,0.199,
E,6,Sample X54,0.203,
E,7,Sample X55,1.355,
E,8,Sample X56,0.216,
E,9,Sample X57,0.217,
E,10,Sample X58,0.651,
E,11,Sample X59,1.315,
E,12,Sample X60,0.228,
F,1,Sample X61,0.214,
F,2,Sample X62,0.213,
F,3,Sample X63,0.21,
F,4,Sample X64,0.281,
F,5,Sample X65,0.216,
F,6,Sample X66,0.221,
F,7,Sample X67,0.237,
F,8,Sample X68,0.455,
F,9,Sample X69,1.343,
F,10,Sample X70,0.244,
F,11,Sample X71,0.249,
F,12,Sample X72,0.257,
G,1,Sample X73,0.217,
G,2,Sample X74,1.297,
G,3,Sample X75,0.218,
G,4,Sample X76,0.216,
G,5,Sample X77,0.874,
G,6,Sample X78,0.226,
G,7,Sample X79,0.238,
G,8,Sample X80,1.384,
G,9,Sample X81,0.247,
G,10,Sample X82,0.844,
G,11,Sample X83,0.258,
G,12,Sample X84,0.256,
H,1,Sample X85,0.218,
H,2,Sample X86,0.221,
H,3,Sample X87,0.218,
H,4,Sample X88,0.216,
H,5,Sample X89,0.219,
H,6,Sample X90,0.229,
H,7,Sample X91,0.237,
H,8,Sample X92,0.239,
H,9,Sample X93,0.245,
H,10,Sample X94,0.244,
H,11,Sample X95,0.256,
H,12,Sample X96,0.259,
