Well Row,Well Col,Content,Raw Data (600),
A,1,Sample X1,0.166,
A,2,Sample X2,0.166,
A,3,Sample X3,0.166,
A,4,Sample X4,0.168,
A,5,Sample X5,0.165,
A,6,Sample X6,0.164,
A,7,Sample X7,0.167,
A,8,Sample X8,0.165,
A,9,Sample X9,0.168,
A,10,Sample X10,0.168,
A,11,Sample X11,0.167,
A,12,Sample X12,0.178,
B,1,Sample X13,0.175,
B,2,Sample X14,1.401,
B,3,Sample X15,1.396,
B,4,Sample X16,1.387,
B,5,Sample X17,1.357,
B,6,Sample X18,1.373,
B,7,Sample X19,1.352,
B,8,Sample X20,1.367,
B,9,Sample X21,1.394,
B,10,Sample X22,1.376,
B,11,Sample X23,1.357,
B,12,Sample X24,0.167,
C,1,Sample X25,0.176,
C,2,Sample X26,1.335,
C,3,Sample X27,1.307,
C,4,Sample X28,1.292,
C,5,Sample X29,1.273,
C,6,Sample X30,1.272,
C,7,Sample X31,1.303,
C,8,Sample X32,1.309,
C,9,Sample X33,1.349,
C,10,Sample X34,1.279,
C,11,Sample X35,1.31,
C,12,Sample X36,0.181,
D,1,Sample X37,0.186,
D,2,Sample X38,1.352,
D,3,Sample X39,1.343,
D,4,Sample X40,1.355,
D,5,Sample X41,1.331,
D,6,Sample X42,1.337,
D,7,Sample X43,1.34,
D,8,Sample X44,1.334,
D,9,Sample X45,1.339,
D,10,Sample X46,1.315,
D,11,Sample X47,1.333,
D,12,Sample X48,0.178,
E,1,Sample X49,0.178,
E,2,Sample X50,1.35,
E,3,Sample X51,1.361,
E,4,Sample X52,1.347,
E,5,Sample X53,1.363,
E,6,Sample X54,1.357,
E,7,Sample X55,1.356,
E,8,Sample X56,1.372,
E,9,Sample X57,1.366,
E,10,Sample X58,1.363,
E,11,Sample X59,1.348,
E,12,Sample X60,0.183,
F,1,Sample X61,0.197,
F,2,Sample X62,1.396,
F,3,Sample X63,1.383,
F,4,Sample X64,1.39,
F,5,Sample X65,1.389,
F,6,Sample X66,1.373,
F,7,Sample X67,1.36,
F,8,Sample X68,1.373,
F,9,Sample X69,1.405,
F,10,Sample X70,1.332,
F,11,Sample X71,1.357,
F,12,Sample X72,0.202,
G,1,Sample X73,0.202,
G,2,Sample X74,1.351,
G,3,Sample X75,1.361,
G,4,Sample X76,1.358,
G,5,Sample X77,1.357,
G,6,Sample X78,1.326,
G,7,Sample X79,1.344,
G,8,Sample X80,1.4,
G,9,Sample X81,1.385,
G,10,Sample X82,1.351,
G,11,Sample X83,1.361,
G,12,Sample X84,0.203,
H,1,Sample X85,0.202,
H,2,Sample X86,0.195,
H,3,Sample X87,0.199,
H,4,Sample X88,0.201,
H,5,Sample X89,0.198,
H,6,Sample X90,0.196,
H,7,Sample X91,0.199,
H,8,Sample X92,0.2,
H,9,Sample X93,0.198,
H,10,Sample X94,0.199,
H,11,Sample X95,0.201,
H,12,Sample X96,0.212,
