Well Row,Well Col,Content,Raw Data (600),
A,1,Sample X1,0.173,
A,2,Sample X2,0.184,
A,3,Sample X3,0.176,
A,4,Sample X4,0.176,
A,5,Sample X5,0.173,
A,6,Sample X6,0.183,
A,7,Sample X7,0.174,
A,8,Sample X8,0.174,
A,9,Sample X9,0.178,
A,10,Sample X10,0.178,
A,11,Sample X11,0.173,
A,12,Sample X12,0.18,
B,1,Sample X13,0.179,
B,2,Sample X14,1.127,
B,3,Sample X15,1.17,
B,4,Sample X16,1.272,
B,5,Sample X17,1.115,
B,6,Sample X18,0.987,
B,7,Sample X19,1.104,
B,8,Sample X20,1.019,
B,9,Sample X21,1.204,
B,10,Sample X22,0.95,
B,11,Sample X23,1.049,
B,12,Sample X24,0.18,
C,1,Sample X25,0.192,
C,2,Sample X26,1.09,
C,3,Sample X27,1.104,
C,4,Sample X28,0.2,
C,5,Sample X29,1.265,
C,6,Sample X30,0.416,
C,7,Sample X31,0.196,
C,8,Sample X32,0.995,
C,9,Sample X33,1.053,
C,10,Sample X34,1.193,
C,11,Sample X35,1.233,
C,12,Sample X36,0.2,
D,1,Sample X37,0.2,
D,2,Sample X38,0.967,
D,3,Sample X39,0.814,
D,4,Sample X40,1.135,
D,5,Sample X41,0.246,
D,6,Sample X42,0.875,
D,7,Sample X43,1.166,
D,8,Sample X44,1.079,
D,9,Sample X45,0.93,
D,10,Sample X46,1.022,
D,11,Sample X47,0.801,
D,12,Sample X48,0.191,
E,1,Sample X49,0.194,
E,2,Sample X50,1.089,
E,3,Sample X51,0.535,
E,4,Sample X52,1.089,
E,5,Sample X53,0.683,
E,6,Sample X54,0.285,
E,7,Sample X55,0.867,
E,8,Sample X56,0.824,
E,9,Sample X57,1.144,
E,10,Sample X58,1.083,
E,11,Sample X59,0.234,
E,12,Sample X60,0.2,
F,1,Sample X61,0.217,
F,2,Sample X62,1.042,
F,3,Sample X63,1.033,
F,4,Sample X64,1.125,
F,5,Sample X65,1.188,
F,6,Sample X66,1.147,
F,7,Sample X67,0.914,
F,8,Sample X68,0.97,
F,9,Sample X69,0.969,
F,10,Sample X70,0.735,
F,11,Sample X71,1.027,
F,12,Sample X72,0.223,
G,1,Sample X73,0.214,
G,2,Sample X74,1.345,
G,3,Sample X75,0.816,
G,4,Sample X76,1.083,
G,5,Sample X77,1.022,
G,6,Sample X78,0.938,
G,7,Sample X79,1.049,
G,8,Sample X80,1.04,
G,9,Sample X81,0.254,
G,10,Sample X82,0.913,
G,11,Sample X83,1.061,
G,12,Sample X84,0.216,
H,1,Sample X85,0.206,
H,2,Sample X86,0.211,
H,3,Sample X87,0.202,
H,4,Sample X88,0.2,
H,5,Sample X89,0.211,
H,6,Sample X90,0.207,
H,7,Sample X91,0.204,
H,8,Sample X92,0.202,
H,9,Sample X93,0.206,
H,10,Sample X94,0.208,
H,11,Sample X95,0.211,
H,12,Sample X96,0.216,
