Well Row,Well Col,Content,Raw Data (600),
A,1,Sample X1,0.184,
A,2,Sample X2,0.178,
A,3,Sample X3,0.172,
A,4,Sample X4,0.176,
A,5,Sample X5,0.173,
A,6,Sample X6,0.179,
A,7,Sample X7,0.172,
A,8,Sample X8,0.172,
A,9,Sample X9,0.171,
A,10,Sample X10,0.176,
A,11,Sample X11,0.18,
A,12,Sample X12,0.187,
B,1,Sample X13,0.191,
B,2,Sample X14,1.345,
B,3,Sample X15,1.365,
B,4,Sample X16,1.244,
B,5,Sample X17,1.241,
B,6,Sample X18,1.235,
B,7,Sample X19,1.286,
B,8,Sample X20,1.295,
B,9,Sample X21,1.319,
B,10,Sample X22,1.283,
B,11,Sample X23,1.363,
B,12,Sample X24,0.188,
C,1,Sample X25,0.191,
C,2,Sample X26,1.296,
C,3,Sample X27,1.243,
C,4,Sample X28,1.194,
C,5,Sample X29,1.212,
C,6,Sample X30,1.14,
C,7,Sample X31,1.063,
C,8,Sample X32,1.123,
C,9,Sample X33,1.12,
C,10,Sample X34,1.274,
C,11,Sample X35,1.362,
C,12,Sample X36,0.207,
D,1,Sample X37,0.203,
D,2,Sample X38,1.258,
D,3,Sample X39,1.193,
D,4,Sample X40,1.243,
D,5,Sample X41,1.165,
D,6,Sample X42,1.125,
D,7,Sample X43,1.229,
D,8,Sample X44,1.228,
D,9,Sample X45,1.166,
D,10,Sample X46,1.201,
D,11,Sample X47,1.267,
D,12,Sample X48,0.203,
E,1,Sample X49,0.196,
E,2,Sample X50,1.303,
E,3,Sample X51,1.26,
E,4,Sample X52,1.096,
E,5,Sample X53,1.193,
E,6,Sample X54,1.185,
E,7,Sample X55,1.264,
E,8,Sample X56,1.145,
E,9,Sample X57,1.184,
E,10,Sample X58,1.233,
E,11,Sample X59,1.361,
E,12,Sample X60,0.203,
F,1,Sample X61,0.215,
F,2,Sample X62,1.33,
F,3,Sample X63,1.256,
F,4,Sample X64,1.156,
F,5,Sample X65,1.253,
F,6,Sample X66,1.244,
F,7,Sample X67,1.251,
F,8,Sample X68,1.261,
F,9,Sample X69,1.205,
F,10,Sample X70,1.269,
F,11,Sample X71,1.343,
F,12,Sample X72,0.22,
G,1,Sample X73,0.215,
G,2,Sample X74,1.319,
G,3,Sample X75,1.252,
G,4,Sample X76,1.206,
G,5,Sample X77,1.294,
G,6,Sample X78,1.307,
G,7,Sample X79,1.264,
G,8,Sample X80,1.277,
G,9,Sample X81,1.205,
G,10,Sample X82,1.211,
G,11,Sample X83,1.207,
G,12,Sample X84,0.218,
H,1,Sample X85,0.212,
H,2,Sample X86,0.21,
H,3,Sample X87,0.202,
H,4,Sample X88,0.206,
H,5,Sample X89,0.204,
H,6,Sample X90,0.205,
H,7,Sample X91,0.203,
H,8,Sample X92,0.203,
H,9,Sample X93,0.202,
H,10,Sample X94,0.202,
H,11,Sample X95,0.21,
H,12,Sample X96,0.219,
