Well Row,Well Col,Content,Raw Data (600),
A,1,Sample X1,0.165,
A,2,Sample X2,0.164,
A,3,Sample X3,0.166,
A,4,Sample X4,0.166,
A,5,Sample X5,0.164,
A,6,Sample X6,0.163,
A,7,Sample X7,0.17,
A,8,Sample X8,0.164,
A,9,Sample X9,0.165,
A,10,Sample X10,0.167,
A,11,Sample X11,0.168,
A,12,Sample X12,0.171,
B,1,Sample X13,0.171,
B,2,Sample X14,1.371,
B,3,Sample X15,1.382,
B,4,Sample X16,1.082,
B,5,Sample X17,1.379,
B,6,Sample X18,1.362,
B,7,Sample X19,1.289,
B,8,Sample X20,1.363,
B,9,Sample X21,1.052,
B,10,Sample X22,1.323,
B,11,Sample X23,1.276,
B,12,Sample X24,0.17,
C,1,Sample X25,0.173,
C,2,Sample X26,1.235,
C,3,Sample X27,1.245,
C,4,Sample X28,1.037,
C,5,Sample X29,1.304,
C,6,Sample X30,1.345,
C,7,Sample X31,1.351,
C,8,Sample X32,0.805,
C,9,Sample X33,1.033,
C,10,Sample X34,1.353,
C,11,Sample X35,1.099,
C,12,Sample X36,0.183,
D,1,Sample X37,0.181,
D,2,Sample X38,1.376,
D,3,Sample X39,1.365,
D,4,Sample X40,1.335,
D,5,Sample X41,1.284,
D,6,Sample X42,0.99,
D,7,Sample X43,1.246,
D,8,Sample X44,1.371,
D,9,Sample X45,1.282,
D,10,Sample X46,1.327,
D,11,Sample X47,1.287,
D,12,Sample X48,0.178,
E,1,Sample X49,0.177,
E,2,Sample X50,1.353,
E,3,Sample X51,1.322,
E,4,Sample X52,0.289,
E,5,Sample X53,1.174,
E,6,Sample X54,0.417,
E,7,Sample X55,1.182,
E,8,Sample X56,1.192,
E,9,Sample X57,1.346,
E,10,Sample X58,1.302,
E,11,Sample X59,0.783,
E,12,Sample X60,0.18,
F,1,Sample X61,0.194,
F,2,Sample X62,1.323,
F,3,Sample X63,1.223,
F,4,Sample X64,1.167,
F,5,Sample X65,1.275,
F,6,Sample X66,1.312,
F,7,Sample X67,1.091,
F,8,Sample X68,1.249,
F,9,Sample X69,0.944,
F,10,Sample X70,1.316,
F,11,Sample X71,1.279,
F,12,Sample X72,0.201,
G,1,Sample X73,0.203,
G,2,Sample X74,1.306,
G,3,Sample X75,1.283,
G,4,Sample X76,1.408,
G,5,Sample X77,1.248,
G,6,Sample X78,1.333,
G,7,Sample X79,1.382,
G,8,Sample X80,1.394,
G,9,Sample X81,0.834,
G,10,Sample X82,1.401,
G,11,Sample X83,1.052,
G,12,Sample X84,0.205,
H,1,Sample X85,0.198,
H,2,Sample X86,0.199,
H,3,Sample X87,0.196,
H,4,Sample X88,0.198,
H,5,Sample X89,0.194,
H,6,Sample X90,0.193,
H,7,Sample X91,0.197,
H,8,Sample X92,0.197,
H,9,Sample X93,0.197,
H,10,Sample X94,0.197,
H,11,Sample X95,0.201,
H,12,Sample X96,0.205,
