Well Row,Well Col,Content, 1 - 1, 1 - 2, 1 - 3, 1 - 4, 1 - 5, 1 - 6, 1 - 7, 1 - 8, 1 - 9, 1 - 10, 1 - 11, 1 - 12, 1 - 13, 1 - 14, 1 - 15, 1 - 16, 1 - 17, 1 - 18, 1 - 19, 1 - 20, 1 - 21, 1 - 22, 1 - 23, 1 - 24, 1 - 25, 1 - 26, 1 - 27, 1 - 28, 1 - 29, 1 - 30, 1 - 31, 1 - 32, 1 - 33, 1 - 34, 1 - 35, 1 - 36, 1 - 37, 1 - 38, 1 - 39, 1 - 40, 1 - 41, 1 - 42, 1 - 43, 1 - 44, 1 - 45, 1 - 46, 1 - 47, 1 - 48, 1 - 49, 1 - 50, 1 - 51, 1 - 52, 1 - 53, 1 - 54, 1 - 55,
,,Time,0 h ,0 h 40 min,1 h 20 min,2 h ,2 h 40 min,3 h 20 min,4 h ,4 h 40 min,5 h 20 min,6 h ,6 h 40 min,7 h 20 min,8 h ,8 h 40 min,9 h 20 min,9 h 60 min,10 h 40 min,11 h 20 min,12 h ,12 h 40 min,13 h 20 min,14 h ,14 h 40 min,15 h 20 min,16 h ,16 h 40 min,17 h 20 min,18 h ,18 h 40 min,19 h 20 min,20 h ,20 h 40 min,21 h 20 min,22 h ,22 h 40 min,23 h 20 min,24 h ,24 h 40 min,25 h 20 min,26 h ,26 h 40 min,27 h 20 min,28 h ,28 h 40 min,29 h 20 min,30 h ,30 h 40 min,31 h 20 min,32 h ,32 h 40 min,33 h 20 min,34 h ,34 h 40 min,35 h 20 min,36 h ,
A,1,Sample X1,0.031,0.03,0.035,0.029,0.029,0.032,0.029,0.032,0.029,0.033,0.032,0.029,0.033,0.03,0.029,0.03,0.032,0.032,0.031,0.03,0.03,0.031,0.029,0.028,0.036,0.03,0.029,0.035,0.03,0.031,0.031,0.032,0.031,0.033,0.033,0.032,0.031,0.033,0.031,0.033,0.039,0.031,0.033,0.032,0.033,0.031,0.032,0.033,0.032,0.031,0.031,0.034,0.031,0.03,0.113,
A,2,Sample X2,0.029,0.03,0.031,0.028,0.029,0.03,0.03,0.029,0.029,0.031,0.03,0.029,0.03,0.029,0.028,0.028,0.03,0.03,0.031,0.029,0.029,0.032,0.029,0.029,0.028,0.029,0.028,0.032,0.028,0.031,0.031,0.031,0.03,0.032,0.028,0.031,0.028,0.031,0.029,0.03,0.032,0.028,0.029,0.034,0.029,0.033,0.031,0.03,0.029,0.028,0.033,0.032,0.031,0.031,0.033,
A,3,Sample X3,0.03,0.033,0.032,0.031,0.03,0.029,0.03,0.031,0.028,0.033,0.034,0.03,0.032,0.029,0.031,0.033,0.032,0.032,0.032,0.029,0.03,0.029,0.029,0.029,0.03,0.031,0.03,0.032,0.03,0.031,0.032,0.033,0.031,0.033,0.034,0.034,0.029,0.031,0.031,0.034,0.033,0.03,0.029,0.034,0.032,0.034,0.033,0.034,0.033,0.031,0.03,0.033,0.034,0.029,0.033,
A,4,Sample X4,0.03,0.031,0.031,0.029,0.028,0.029,0.03,0.03,0.029,0.03,0.031,0.031,0.032,0.029,0.028,0.03,0.032,0.031,0.03,0.03,0.03,0.031,0.029,0.029,0.029,0.03,0.032,0.031,0.029,0.03,0.031,0.03,0.031,0.034,0.032,0.03,0.031,0.032,0.031,0.033,0.033,0.03,0.031,0.032,0.032,0.032,0.032,0.035,0.032,0.031,0.033,0.033,0.032,0.034,0.035,
A,5,Sample X5,0.032,0.034,0.031,0.031,0.029,0.03,0.029,0.03,0.03,0.032,0.031,0.03,0.03,0.03,0.029,0.03,0.032,0.033,0.03,0.029,0.032,0.03,0.028,0.029,0.029,0.032,0.03,0.034,0.03,0.031,0.031,0.035,0.031,0.034,0.031,0.03,0.033,0.033,0.031,0.032,0.031,0.03,0.031,0.032,0.031,0.031,0.033,0.033,0.032,0.031,0.033,0.032,0.034,0.03,0.033,
A,6,Sample X6,0.031,0.032,0.033,0.03,0.029,0.033,0.031,0.03,0.03,0.032,0.033,0.032,0.034,0.032,0.03,0.029,0.033,0.033,0.031,0.03,0.03,0.032,0.028,0.029,0.028,0.032,0.031,0.032,0.031,0.032,0.031,0.032,0.031,0.034,0.03,0.032,0.03,0.035,0.031,0.032,0.032,0.032,0.03,0.033,0.032,0.032,0.034,0.034,0.031,0.031,0.034,0.034,0.033,0.032,0.035,
A,7,Sample X7,0.03,0.031,0.029,0.03,0.028,0.03,0.029,0.029,0.029,0.032,0.032,0.03,0.032,0.032,0.029,0.032,0.032,0.034,0.031,0.028,0.03,0.031,0.029,0.028,0.029,0.032,0.028,0.035,0.029,0.03,0.032,0.034,0.033,0.032,0.031,0.033,0.032,0.033,0.032,0.033,0.034,0.031,0.03,0.034,0.032,0.033,0.035,0.034,0.032,0.03,0.034,0.035,0.033,0.031,0.033,
A,8,Sample X8,0.033,0.035,0.033,0.028,0.029,0.029,0.031,0.029,0.028,0.032,0.029,0.033,0.03,0.027,0.028,0.029,0.029,0.032,0.03,0.026,0.03,0.03,0.027,0.027,0.028,0.03,0.029,0.033,0.029,0.03,0.031,0.031,0.03,0.031,0.03,0.031,0.033,0.032,0.03,0.031,0.031,0.029,0.029,0.031,0.031,0.033,0.031,0.034,0.031,0.028,0.032,0.034,0.031,0.029,0.033,
A,9,Sample X9,0.031,0.031,0.031,0.03,0.028,0.029,0.029,0.028,0.027,0.03,0.029,0.029,0.032,0.028,0.028,0.028,0.032,0.03,0.033,0.027,0.029,0.029,0.027,0.028,0.028,0.03,0.028,0.032,0.028,0.031,0.03,0.031,0.031,0.031,0.03,0.031,0.029,0.033,0.029,0.03,0.03,0.03,0.029,0.031,0.03,0.028,0.029,0.033,0.029,0.03,0.031,0.031,0.032,0.029,0.03,
A,10,Sample X10,0.029,0.031,0.03,0.031,0.026,0.029,0.03,0.028,0.026,0.031,0.031,0.027,0.029,0.028,0.029,0.03,0.031,0.029,0.028,0.028,0.03,0.028,0.027,0.028,0.026,0.03,0.027,0.031,0.029,0.029,0.031,0.03,0.029,0.029,0.029,0.035,0.03,0.032,0.03,0.029,0.03,0.029,0.028,0.031,0.029,0.029,0.031,0.032,0.029,0.029,0.031,0.032,0.032,0.03,0.03,
A,11,Sample X11,0.031,0.031,0.031,0.028,0.027,0.03,0.031,0.031,0.029,0.032,0.031,0.028,0.028,0.027,0.028,0.03,0.03,0.03,0.03,0.028,0.03,0.029,0.028,0.026,0.029,0.031,0.027,0.034,0.028,0.029,0.032,0.03,0.03,0.032,0.028,0.03,0.033,0.03,0.029,0.031,0.031,0.03,0.03,0.033,0.03,0.029,0.03,0.033,0.03,0.03,0.03,0.031,0.034,0.028,0.032,
A,12,Sample X12,0.031,0.029,0.028,0.027,0.027,0.029,0.029,0.03,0.028,0.03,0.031,0.029,0.032,0.029,0.027,0.03,0.032,0.031,0.031,0.031,0.03,0.029,0.029,0.029,0.028,0.03,0.028,0.035,0.028,0.031,0.03,0.029,0.03,0.032,0.031,0.032,0.03,0.032,0.031,0.032,0.031,0.03,0.031,0.037,0.031,0.034,0.032,0.034,0.032,0.031,0.032,0.031,0.033,0.031,0.033,
B,1,Sample X13,0.029,0.028,0.03,0.027,0.029,0.028,0.028,0.028,0.027,0.03,0.028,0.028,0.03,0.028,0.027,0.028,0.028,0.03,0.028,0.027,0.03,0.028,0.027,0.027,0.026,0.028,0.027,0.03,0.027,0.027,0.03,0.028,0.029,0.031,0.028,0.029,0.029,0.029,0.028,0.027,0.029,0.027,0.027,0.028,0.029,0.028,0.027,0.03,0.027,0.026,0.029,0.032,0.028,0.03,0.029,
B,2,Sample X14,0.047,0.049,0.061,0.099,0.134,0.187,0.238,0.3,0.343,0.399,0.42,0.43,0.431,0.432,0.468,0.483,0.505,0.529,0.542,0.565,0.583,0.612,0.636,0.646,0.669,0.671,0.709,0.745,0.753,0.767,0.777,0.794,0.804,0.807,0.815,0.841,0.819,0.865,0.864,0.899,0.916,0.926,0.939,0.965,0.977,0.98,0.985,1.022,1.026,1.036,1.046,1.06,1.069,1.081,1.081,
B,3,Sample X15,0.045,0.047,0.057,0.071,0.114,0.146,0.194,0.25,0.299,0.338,0.37,0.4,0.41,0.404,0.419,0.433,0.436,0.444,0.458,0.473,0.489,0.505,0.512,0.517,0.541,0.546,0.558,0.572,0.578,0.592,0.599,0.612,0.627,0.636,0.646,0.665,0.658,0.68,0.684,0.701,0.714,0.715,0.722,0.741,0.744,0.754,0.752,0.773,0.785,0.785,0.794,0.798,0.81,0.816,0.823,
B,4,Sample X16,0.043,0.043,0.049,0.064,0.094,0.123,0.162,0.227,0.304,0.308,0.345,0.394,0.392,0.402,0.412,0.437,0.444,0.46,0.482,0.501,0.524,0.54,0.552,0.561,0.59,0.597,0.609,0.632,0.64,0.66,0.661,0.672,0.683,0.696,0.7,0.705,0.706,0.728,0.738,0.76,0.764,0.764,0.776,0.791,0.798,0.788,0.799,0.816,0.817,0.818,0.811,0.829,0.825,0.842,0.846,
B,5,Sample X17,0.042,0.047,0.053,0.074,0.117,0.161,0.211,0.267,0.32,0.346,0.42,0.45,0.445,0.455,0.459,0.479,0.491,0.496,0.527,0.547,0.549,0.56,0.588,0.595,0.612,0.631,0.649,0.67,0.684,0.706,0.715,0.724,0.735,0.755,0.771,0.779,0.79,0.812,0.816,0.845,0.845,0.86,0.871,0.9,0.902,0.906,0.916,0.932,0.944,0.934,0.945,0.939,0.945,0.946,0.952,
B,6,Sample X18,0.041,0.042,0.047,0.066,0.098,0.144,0.182,0.236,0.29,0.342,0.377,0.404,0.434,0.455,0.478,0.494,0.511,0.525,0.532,0.549,0.565,0.57,0.586,0.595,0.621,0.637,0.658,0.685,0.689,0.698,0.729,0.743,0.761,0.784,0.799,0.829,0.832,0.863,0.878,0.91,0.929,0.94,0.965,0.983,0.991,1.005,1.012,1.038,1.046,1.057,1.071,1.079,1.093,1.09,1.111,
B,7,Sample X19,0.041,0.042,0.049,0.066,0.102,0.147,0.2,0.277,0.328,0.342,0.388,0.412,0.44,0.442,0.449,0.462,0.468,0.478,0.495,0.51,0.517,0.531,0.538,0.557,0.563,0.582,0.603,0.616,0.63,0.636,0.664,0.664,0.679,0.682,0.694,0.702,0.698,0.722,0.724,0.749,0.754,0.752,0.768,0.786,0.783,0.796,0.795,0.815,0.824,0.834,0.836,0.844,0.853,0.852,0.855,
B,8,Sample X20,0.045,0.043,0.049,0.061,0.093,0.128,0.17,0.235,0.291,0.358,0.414,0.434,0.423,0.427,0.437,0.452,0.469,0.5,0.501,0.528,0.556,0.562,0.58,0.593,0.611,0.626,0.641,0.657,0.665,0.662,0.681,0.689,0.699,0.712,0.708,0.723,0.725,0.745,0.742,0.758,0.77,0.763,0.778,0.79,0.794,0.794,0.808,0.814,0.812,0.819,0.813,0.82,0.827,0.831,0.835,
